"interessante regioner", "antal"
0, 1
1, 1
2, 1
3, 3
4, 7
5, 6
6, 6
7, 10
8, 7
9, 10
10, 10
11, 5
12, 8
13, 9
14, 11
15, 11
16, 8
17, 5
18, 9
19, 4
20, 9
21, 7
22, 9
23, 15
24, 7
25, 8
26, 10
27, 9
28, 14
29, 6
30, 8
31, 15
32, 12
33, 11
34, 18
35, 8
36, 11
37, 11
38, 3
39, 14
40, 10
41, 7
42, 10
43, 6
44, 3
45, 11
46, 13
47, 4
48, 6
49, 5
50, 5
51, 13
52, 6
53, 7
54, 3
55, 5
56, 0
57, 8
58, 1
59, 2
60, 8
61, 7
62, 6
63, 5
64, 5
65, 5
66, 3
67, 2
68, 4
69, 0
70, 2
71, 3
72, 1
73, 0
74, 3
75, 0
76, 0
77, 0
78, 1
79, 1
80, 2
81, 0
82, 0
83, 1
84, 0
85, 0
86, 0
87, 1
88, 1
89, 0
90, 1
