"ratios","interessante regioner"
Swedish, 5.52941176471
Othe, 9.16666666667
Dutch, 9.37940379404
Polish, 7.54545454545
Belgia, 7.04166666667
Danish, 10.0526315789
Hungaria, 10.3521126761
Norwegia, 3.5
Netherlandish, 17.015936255
French, 10.0368324125
Catala, 16.7826086957
Russia, 7.89655172414
Spanish, 9.3898488121
Greek, 18.3333333333
America, 7.27906976744
Bohemia, 13.15
Swiss, 11.3015873016
Italia, 14.220010386
Portuguese, 13.4444444444
Irish, 9.66666666667
Flemish, 12.8105981112
Germa, 12.2281659389
Scottish, 5.28571428571
Austria, 11.3533834586
